Reference period,Gross domestic product at market prices
1981,871367
1982,843594
1983,865539
1984,916679
1985,960106
1986,980700
1987,1020643
1988,1065655
1989,1090346
1990,1092141
1991,1069358
1992,1078985
1993,1107696
1994,1157481
1995,1188663
1996,1207909
1997,1259608
1998,1308685
1999,1376251
2000,1447508
2001,1473418
2002,1517887
2003,1545232
2004,1592933
2005,1643973
2006,1687281
2007,1722238
2008,1739534
2009,1688636
2010,1740814
2011,1795582
2012,1827201
2013,1869759
2014,1923422
2015,1936100
2016,1955488
2017,2014933
2018,2063887
2019,2102304